date,weight
2022-08-02,88.2
2022-08-03,91.8
2022-08-04,90.9
2022-08-05,88.2
2022-08-06,90.9
2022-08-07,91.8
2022-08-10,88.2
2022-08-11,91.8
2022-08-12,88.2
2022-08-13,88.2
2022-08-14,90.0
2022-08-15,88.2
2022-08-17,89.1
2022-08-18,90.9
2022-08-19,88.2
2022-08-20,89.1
2022-08-21,89.1
2022-08-23,90.0
2022-08-24,90.9
2022-08-25,90.9
2022-08-26,90.0
2022-08-27,89.1
2022-08-28,90.0
2022-08-29,89.1
2022-08-30,89.1
2022-08-31,91.8
2022-09-01,90.9
2022-09-02,88.2
2022-09-03,90.0
2022-09-04,91.8
2022-09-05,89.1
2022-09-06,90.9
2022-09-07,90.0
2022-09-08,91.8
2022-09-09,89.1
2022-09-10,90.0
2022-09-12,90.9
2022-09-13,91.8
2022-09-14,90.9
2022-09-15,90.9
2022-09-16,91.8
2022-09-19,90.0
2022-09-20,90.9
2022-09-21,90.0
2022-09-22,90.9
2022-09-23,88.2
2022-09-24,88.2
2022-09-25,90.9
2022-09-26,91.8
2022-09-27,91.8
2022-09-29,88.2
2022-09-30,90.9
2022-10-01,91.8
2022-10-02,90.0
2022-10-03,90.0
2022-10-04,91.8
2022-10-05,90.9
2022-10-06,88.2
2022-10-07,89.1
2022-10-08,89.1
2022-10-09,90.9
2022-10-10,90.9
2022-10-11,89.1
2022-10-14,88.2
2022-10-15,91.8
2022-10-16,90.9
2022-10-17,91.8
2022-10-18,91.8
2022-10-19,91.8
2022-10-20,90.9
2022-10-21,91.8
2022-10-22,90.0
2022-10-23,88.2
2022-10-24,91.8
2022-10-25,88.2
2022-10-26,90.0
2022-10-27,90.9
2022-10-28,88.2
2022-10-29,91.8
2022-10-31,90.0
2022-11-01,90.0
2022-11-02,88.2
2022-11-03,91.8
2022-11-04,91.8
2022-11-05,90.0
2022-11-06,90.9
2022-11-07,89.1
2022-11-08,89.1
2022-11-09,89.1
2022-11-10,90.9
2022-11-11,90.0
2022-11-12,90.9
2022-11-14,89.1
2022-11-15,90.0
2022-11-16,90.0
2022-11-17,88.2
2022-11-18,91.8
2022-11-19,88.2
2022-11-20,91.8
2022-11-21,89.1
2022-11-22,91.8
2022-11-23,88.2
2022-11-24,91.8
2022-11-25,90.0
2022-11-26,90.9
2022-11-27,90.9
2022-11-28,88.2
2022-11-29,89.1
2022-11-30,89.1
2022-12-01,90.9
2022-12-02,88.2
2022-12-03,88.2
2022-12-04,89.1
2022-12-05,89.1
2022-12-06,91.8
2022-12-07,91.8
2022-12-08,90.9
2022-12-09,89.1
2022-12-10,90.9
2022-12-11,91.8
2022-12-12,90.9
2022-12-13,88.2
2022-12-14,89.1
2022-12-15,90.0
2022-12-16,90.0
2022-12-17,91.8
2022-12-18,91.8
2022-12-19,88.2
2022-12-20,90.9
2022-12-22,90.0
2022-12-23,90.9
2022-12-24,90.9
2022-12-26,90.9
2022-12-27,91.8
2022-12-28,90.0
2022-12-30,88.2
2022-12-31,89.1
2023-01-01,91.8
2023-01-02,91.8
2023-01-03,90.9
2023-01-04,88.2
2023-01-05,91.8
2023-01-06,90.0
2023-01-07,88.2
2023-01-08,90.0
2023-01-09,90.9
2023-01-10,88.2
2023-01-11,89.1
2023-01-12,89.1
2023-01-13,91.8
2023-01-14,88.2
2023-01-15,90.0
2023-01-16,91.8
2023-01-17,90.9
2023-01-18,90.9
2023-01-19,90.9
2023-01-20,88.2
2023-01-21,88.2
