date,prop_hr1,prop_hr2,prop_hr3,prop_hr4,prop_hr5,predict_prop_hr1,predict_prop_hr2,predict_prop_hr3,predict_prop_hr4,predict_prop_hr5,diff_pred_hr1,diff_pred_hr2,diff_pred_hr3,diff_pred_hr4,diff_pred_hr5,comment_session
02/08/2022,0.07,0.34,0.37,0.22,0.0,0.10648175,0.24064156,0.41647145,0.23359077,0.0028145271,-0.03648174999999999,0.09935844000000002,-0.046471450000000025,-0.013590770000000002,-0.0028145271,
03/08/2022,0.15,0.37,0.35,0.14,0.0,0.2051454,0.2663219,0.3820478,0.13670103,0.009783853,-0.05514540000000001,0.1036781,-0.032047800000000015,0.003298970000000012,-0.009783853,
04/08/2022,0.21,0.44,0.28,0.08,0.0,0.20549236,0.40108946,0.29786706,0.09168001,0.003871066,0.0045076399999999794,0.03891053999999999,-0.01786705999999999,-0.011680010000000005,-0.003871066,
05/08/2022,0.23,0.48,0.23,0.06,0.0,0.24331917,0.20823003,0.36296815,0.13097337,0.05450925,-0.013319169999999991,0.27176996999999997,-0.13296814999999998,-0.07097337000000001,-0.05450925,Easier than expected
06/08/2022,0.04,0.04,0.39,0.45,0.08,0.02248974,0.16195586,0.41133216,0.40348896,0.0007333169,0.01751026,-0.12195586,-0.02133215999999999,0.046511040000000003,0.0792666831,Harder than expected
07/08/2022,0.22,0.46,0.24,0.08,0.0,0.16448374,0.52192265,0.22650732,0.08551836,0.0015679133,0.05551626000000001,-0.061922650000000024,0.01349267999999998,-0.00551836,-0.0015679133,
10/08/2022,0.14,0.34,0.36,0.16,0.0,0.09937383,0.43953913,0.31760356,0.14293723,0.0005462017,0.04062617000000002,-0.09953912999999998,0.04239643999999998,0.017062770000000005,-0.0005462017,
11/08/2022,0.12,0.33,0.32,0.23,0.0,0.09702112,0.22758052,0.41834587,0.24924389,0.007808531,0.022978879999999993,0.10241948000000001,-0.09834587,-0.019243889999999986,-0.007808531,
12/08/2022,0.11,0.39,0.36,0.14,0.0,0.1391469,0.22708023,0.40593618,0.20971955,0.01811718,-0.02914689999999999,0.16291977000000002,-0.04593617999999999,-0.06971954999999999,-0.01811718,
13/08/2022,0.09,0.36,0.37,0.17,0.0,0.14592013,0.18740456,0.42483696,0.20184198,0.03999635,-0.05592013000000001,0.17259544,-0.05483695999999999,-0.03184197999999999,-0.03999635,
14/08/2022,0.13,0.39,0.25,0.22,0.0,0.019761894,0.32982984,0.34371924,0.30660498,8.406481e-05,0.110238106,0.06017016000000003,-0.09371923999999998,-0.08660498000000003,-8.406481e-05,
15/08/2022,0.11,0.28,0.38,0.22,0.01,0.10009242,0.20819128,0.4127022,0.26339883,0.015615352,0.00990758,0.07180872000000002,-0.032702200000000015,-0.04339882999999997,-0.0056153520000000005,
17/08/2022,0.15,0.41,0.3,0.14,0.0,0.17702502,0.26713914,0.3813731,0.14961138,0.024851356,-0.02702502000000001,0.14286085999999998,-0.08137310000000003,-0.009611379999999975,-0.024851356,
18/08/2022,0.04,0.19,0.35,0.42,0.0,0.08336602,0.2742093,0.3967571,0.24257487,0.0030927563,-0.04336602,-0.08420929999999999,-0.046757099999999996,0.17742513,-0.0030927563,Harder than expected
19/08/2022,0.23,0.42,0.3,0.05,0.0,0.2420267,0.28251362,0.32224464,0.108494766,0.04472034,-0.012026700000000001,0.13748637999999996,-0.022244640000000038,-0.058494766000000004,-0.04472034,Easier than expected
20/08/2022,0.14,0.34,0.4,0.13,0.0,0.18477026,0.21938299,0.38095155,0.15695268,0.05794252,-0.04477025999999998,0.12061701000000002,0.019048449999999995,-0.026952680000000007,-0.05794252,
21/08/2022,0.03,0.11,0.41,0.43,0.01,0.024157861,0.18414667,0.40858302,0.38217902,0.0009334098,0.005842139,-0.07414667000000001,0.0014169799999999566,0.04782098000000001,0.0090665902,
23/08/2022,0.11,0.46,0.38,0.05,0.0,0.21256283,0.22893798,0.3623695,0.13798723,0.058142405,-0.10256283000000001,0.23106202,0.017630499999999993,-0.08798722999999999,-0.058142405,Easier than expected
24/08/2022,0.08,0.28,0.38,0.25,0.0,0.11604587,0.26038396,0.39911085,0.21368957,0.010769848,-0.036045869999999994,0.01961604,-0.019110850000000013,0.036310430000000005,-0.010769848,
25/08/2022,0.08,0.32,0.36,0.24,0.0,0.1163287,0.2981506,0.39129043,0.18769877,0.0065314155,-0.03632869999999999,0.02184940000000002,-0.031290430000000036,0.052301230000000004,-0.0065314155,
26/08/2022,0.08,0.38,0.38,0.16,0.0,0.14382929,0.26450232,0.39751816,0.17762803,0.016522247,-0.06382929,0.11549767999999999,-0.017518160000000005,-0.01762802999999999,-0.016522247,
27/08/2022,0.11,0.34,0.18,0.36,0.01,0.008873415,0.27701062,0.32734597,0.38675573,1.4316279e-05,0.101126585,0.06298938000000004,-0.14734597,-0.026755730000000033,0.009985683721,
28/08/2022,0.1,0.32,0.35,0.23,0.0,0.09657224,0.2646232,0.4038694,0.22238408,0.012551031,0.003427760000000002,0.055376800000000004,-0.05386940000000001,0.007615919999999998,-0.012551031,
29/08/2022,0.28,0.46,0.21,0.05,0.0,0.25423318,0.19639136,0.28724504,0.09270614,0.16942431,0.025766820000000024,0.26360864000000006,-0.07724504000000001,-0.042706140000000004,-0.16942431,Easier than expected
30/08/2022,0.05,0.14,0.38,0.42,0.02,0.015074627,0.15134132,0.38426292,0.4488621,0.00045902884,0.034925373,-0.011341319999999988,-0.004262920000000003,-0.0288621,0.01954097116,
31/08/2022,0.4,0.25,0.24,0.11,0.0,0.12215734,0.13568974,0.43454853,0.24038567,0.06721884,0.27784266,0.11431026,-0.19454853,-0.13038567,-0.06721884,Easier than expected
01/09/2022,0.13,0.43,0.36,0.08,0.0,0.16586043,0.28063416,0.35890576,0.1676067,0.026992934,-0.03586043,0.14936583999999997,0.0010942399999999686,-0.0876067,-0.026992934,Easier than expected
02/09/2022,0.12,0.47,0.33,0.07,0.0,0.24255747,0.26363146,0.3224737,0.106181085,0.06515623,-0.12255747,0.20636854,0.007526300000000041,-0.03618108499999999,-0.06515623,
03/09/2022,0.17,0.12,0.45,0.25,0.01,0.024937894,0.11228707,0.46431652,0.39623505,0.0022233638,0.14506210600000002,0.007712929999999993,-0.01431652,-0.14623504999999998,0.0077766362,Easier than expected
04/09/2022,0.11,0.18,0.44,0.28,0.0,0.0648439,0.16389205,0.447173,0.3125047,0.011586278,0.045156100000000005,0.016107949999999982,-0.007172999999999985,-0.0325047,-0.011586278,
05/09/2022,0.39,0.4,0.17,0.04,0.01,0.16658476,0.13435827,0.3604747,0.15804979,0.18053246,0.22341524000000001,0.26564173,-0.19047469999999997,-0.11804978999999999,-0.17053246,Easier than expected
06/09/2022,0.15,0.2,0.37,0.28,0.0,0.02493215,0.083091676,0.428331,0.45516592,0.008479298,0.12506784999999998,0.11690832400000001,-0.05833100000000002,-0.17516591999999997,-0.008479298,Easier than expected
07/09/2022,0.18,0.46,0.27,0.09,0.0,0.16429861,0.4274842,0.29073507,0.114566445,0.002915632,0.015701389999999982,0.03251580000000004,-0.020735069999999967,-0.024566445000000006,-0.002915632,
08/09/2022,0.07,0.34,0.4,0.19,0.0,0.12676509,0.1855866,0.43643168,0.23253734,0.018679284,-0.05676508999999999,0.15441340000000003,-0.036431679999999966,-0.04253734000000001,-0.018679284,
09/09/2022,0.06,0.35,0.38,0.22,0.0,0.113106,0.29149103,0.39393398,0.19662377,0.0048451647,-0.053106,0.058508969999999993,-0.013933980000000012,0.023376229999999998,-0.0048451647,
10/09/2022,0.05,0.27,0.34,0.34,0.0,0.09548444,0.30209175,0.37410283,0.22494768,0.0033732112,-0.04548444,-0.032091749999999974,-0.03410282999999997,0.11505232000000001,-0.0033732112,
12/09/2022,0.12,0.45,0.29,0.14,0.0,0.14083512,0.29396385,0.38146043,0.17367284,0.010067754,-0.020835120000000013,0.15603614999999998,-0.09146043000000004,-0.03367283999999998,-0.010067754,
13/09/2022,0.12,0.38,0.4,0.1,0.0,0.15629785,0.19206682,0.4125016,0.19318971,0.04594401,-0.03629784999999999,0.18793318,-0.012501600000000002,-0.09318970999999998,-0.04594401,Easier than expected
14/09/2022,0.03,0.18,0.36,0.41,0.02,0.015393262,0.21896167,0.3695143,0.39602152,0.00010931333,0.014606738,-0.038961670000000004,-0.009514300000000031,0.01397847999999996,0.01989068667,
15/09/2022,0.04,0.24,0.36,0.33,0.02,0.105407946,0.25304902,0.38843736,0.2483018,0.004803977,-0.065407946,-0.013049020000000022,-0.028437360000000023,0.08169820000000003,0.015196023,
16/09/2022,0.34,0.41,0.2,0.05,0.0,0.3764246,0.24161221,0.25903016,0.079371326,0.043561693,-0.036424599999999974,0.16838778999999998,-0.05903016,-0.029371326000000003,-0.043561693,
19/09/2022,0.24,0.42,0.25,0.09,0.0,0.24961394,0.4469725,0.23746037,0.06438773,0.0015654127,-0.009613940000000015,-0.02697250000000001,0.012539629999999996,0.025612269999999993,-0.0015654127,
20/09/2022,0.19,0.47,0.28,0.06,0.0,0.22863065,0.2783714,0.3453357,0.13934538,0.008316888,-0.03863064999999999,0.19162859999999998,-0.0653357,-0.07934538,-0.008316888,
21/09/2022,0.09,0.39,0.36,0.16,0.0,0.16994563,0.2658212,0.38638264,0.17363404,0.0042165015,-0.07994562999999999,0.12417880000000003,-0.026382640000000013,-0.013634039999999986,-0.0042165015,
22/09/2022,0.14,0.41,0.35,0.1,0.0,0.2401595,0.23238295,0.365166,0.14814617,0.014145386,-0.10015949999999998,0.17761704999999997,-0.015166000000000013,-0.04814616999999999,-0.014145386,
23/09/2022,0.08,0.49,0.36,0.07,0.0,0.24239647,0.21741597,0.3824119,0.14185092,0.015924783,-0.16239647000000001,0.27258403,-0.02241190000000004,-0.07185091999999998,-0.015924783,
24/09/2022,0.14,0.34,0.36,0.16,0.0,0.12104604,0.24016756,0.43738696,0.20027609,0.0011233239,0.01895396000000002,0.09983244000000002,-0.07738696,-0.04027608999999999,-0.0011233239,
25/09/2022,0.12,0.35,0.35,0.17,0.0,0.09160766,0.35315123,0.3665704,0.18817796,0.00049277284,0.028392340000000002,-0.003151230000000005,-0.01657040000000004,-0.018177959999999993,-0.00049277284,
26/09/2022,0.06,0.25,0.41,0.27,0.0,0.100965895,0.20550781,0.44362894,0.24634583,0.0035515565,-0.040965895,0.04449218999999999,-0.03362894000000005,0.02365417000000003,-0.0035515565,
27/09/2022,0.12,0.31,0.32,0.24,0.0,0.08268971,0.49451312,0.28693134,0.13573605,0.00012976404,0.037310289999999996,-0.18451311999999997,0.03306866000000003,0.10426395,-0.00012976404,Harder than expected
29/09/2022,0.16,0.33,0.36,0.15,0.0,0.20784488,0.18052684,0.38938466,0.17143925,0.050804388,-0.047844880000000006,0.14947316000000002,-0.029384660000000007,-0.021439249999999993,-0.050804388,
30/09/2022,0.21,0.42,0.34,0.03,0.01,0.21964303,0.15830587,0.3790874,0.15318099,0.0897827,-0.009643029999999997,0.26169412999999997,-0.039087399999999994,-0.12318098999999999,-0.0797827,Easier than expected
01/10/2022,0.24,0.16,0.35,0.24,0.0,0.05574664,0.1288464,0.4466689,0.3442781,0.024460066,0.18425335999999998,0.031153600000000004,-0.0966689,-0.10427809999999998,-0.024460066,Easier than expected
02/10/2022,0.02,0.15,0.42,0.41,0.0,0.048948854,0.28225714,0.38778535,0.27989653,0.0011120475,-0.028948854,-0.13225714000000002,0.03221465000000001,0.13010347,-0.0011120475,Harder than expected
